X,Y,BusStopID,CreateDate,LastEditDate
1566226.9231,5183796.8209,5063,,
1566275.1363,5179298.2784,5064,,
1566286.3029,5180114.7932,5065,,
1566302.8413,5178739.188,5066,,
1566320.7048,5176834.7752,5067,,
1566323.1345,5180132.3812,5068,,
1566342.671,5183749.0893,5069,,
1566366.7525,5176892.1586,5070,,
1566385.2969,5185064.829,5071,,
1566387.9455,5183016.102,5072,,
1566395.5487,5181924.6752,5073,,
1566407.4628,5185077.6116,5074,,
1566417.9058,5179290.897,5075,,
1566431.9532,5181913.3066,5076,,
1566433.9931,5183022.3291,5077,,
1566439.3208,5181232.2488,5078,,
1566447.3349,5183454.5119,5079,,
1566453.0511,5181238.881,5080,,
1566455.2301,5176941.002,5081,,
1566457.3776,5186068.4434,5082,,
1566467.0287,5186063.0495,5083,,
1566486.3589,5183535.6587,5084,,
1566486.9258,5176302.9081,5085,,
1566503.3437,5176301.3797,5086,,
1566509.3464,5177006.8765,5087,,
1566549.4919,5178738.4214,5088,,
1566549.5102,5178750.9714,5089,,
1566560.9609,5180102.9822,5090,,
1566579.5107,5180061.3153,5091,,
1566580.8528,5183607.0522,5092,,
1566595.5365,5183714.1545,5093,,
1566596.0665,5182951.146,5094,,
1566597.3369,5183577.8473,5095,,
1566626.8588,5180498.1667,5096,,
1566627.9072,5179525.3504,5097,,
1566631.4136,5183749.0613,5098,,
1566631.591,5180360.4406,5099,,
1566635.9102,5179573.3687,5100,,
1566647.5547,5184916.5902,5101,,
1566650.8671,5177125.6287,5102,,
1566658.293,5181718.9981,5103,,
1566662.3604,5176331.8248,5104,,
1566666.2994,5176351.7578,5105,,
1566673.6472,5184930.0244,5106,,
1566686.9499,5182782.1397,5107,,
1566688.6344,5177132.1911,5108,,
1566697.2229,5180174.5271,5109,,
1566717.9729,5180163.2793,5110,,
1566718.3997,5181128.3053,5111,,
1566722.0578,5183512.6505,5112,,
1566728.1497,5181638.8691,5113,,
1566731.5864,5185823.4048,5114,,
1566732.7878,5181109.8071,5115,,
1566737.6749,5180899.5366,5116,,
1566755.5068,5182708.701,5117,,
1566761.3902,5180924.8093,5118,,
1566763.2974,5182627.2873,5119,,
1566773.9716,5187666.5717,5120,,
1566780.8031,5187618.1831,5121,,
1566783.8364,5176534.6822,5122,,
1566783.9963,5176523.599,5123,,
1566805.021,5185796.835,5124,,
1566809.274,5182511.4555,5125,,
1566833.3922,5182374.2585,5126,,
1566865.7426,5182301.7618,5127,,
1566891.7796,5177297.0122,5128,,
1566900.0049,5181625.5346,5129,,
1566903.6814,5181106.8299,5130,,
1566903.9164,5182121.6197,5131,,
1566916.4404,5180184.3501,5132,,
1566922.0125,5181840.9017,5133,,
1566924.4401,5184761.0609,5134,,
1566926.4942,5182083.337,5135,,
1566927.0687,5184259.0127,5136,,
1566927.2578,5184284.702,5137,,
1566929.5571,5181784.2865,5138,,
1566930.5335,5183353.2731,5139,,
1566934.7803,5177359.6964,5140,,
1566946.4358,5184775.5624,5141,,
1566988.6762,5187755.7533,5142,,
1566988.7656,5187747.4242,5143,,
1567003.1009,5183314.9246,5144,,
1567020.8541,5181491.4666,5145,,
1567024.8826,5181512.166,5146,,
1567030.9904,5181118.6837,5147,,
1567035.1265,5184453.0661,5148,,
1567038.9942,5185649.9296,5149,,
1567039.7232,5181130.9321,5150,,
1567042.9955,5176644.3781,5151,,
1567048.6701,5176635.11,5152,,
1567069.4993,5180216.2988,5153,,
1567070.7765,5184542.278,5154,,
1567079.6466,5178601.9906,5155,,
1567121.9327,5185668.7712,5156,,
1567126.8649,5185650.7479,5157,,
1567127.6247,5178587.3433,5158,,
1567128.2508,5183201.4665,5159,,
1567169.4723,5177555.9281,5160,,
1567170.991,5177526.1487,5161,,
1567217.6159,5185839.0047,5162,,
1567220.6846,5184599.2397,5163,,
1567235.4777,5181036.465,5164,,
1567240.5005,5185852.8431,5165,,
1567247.5331,5183159.9006,5166,,
1567252.5681,5181036.9037,5167,,
1567253.4692,5184599.9768,5168,,
1567266.5595,5185583.0374,5169,,
1567267.2069,5185523.0457,5170,,
1567275.9472,5185571.655,5171,,
1567299.0644,5181480.0199,5172,,
1567324.2916,5185504.9758,5173,,
1567336.1058,5181456.4884,5174,,
1567337.1926,5179978.6563,5175,,
1567347.2394,5180838.1313,5176,,
1567359.3233,5179904.0305,5177,,
1567359.4944,5184520.9057,5178,,
1567361.0213,5180839.1311,5179,,
1567364.1819,5186101.2194,5180,,
1567376.9443,5183094.7924,5181,,
1567382.8512,5179559.7431,5182,,
1567383.3402,5180253.2132,5183,,
1567387.147,5186115.3798,5184,,
1567390.0503,5177712.2116,5185,,
1567392.9899,5179596.6869,5186,,
1567393.3153,5176933.3059,5187,,
1567395.357,5176920.3438,5188,,
1567398.6112,5183064.4335,5189,,
1567417.3575,5180240.3284,5190,,
1567456.1879,5186265.0899,5191,,
1567465.4147,5186255.3279,5192,,
1567466.9911,5180785.8577,5193,,
1567489.2287,5177811.9594,5194,,
1567513.0995,5184433.8221,5195,,
1567519.858,5185610.6298,5196,,
1567525.6439,5180799.4798,5197,,
1567526.4725,5185391.1286,5198,,
1567527.102,5185624.4585,5199,,
1567558.1582,5185358.9072,5200,,
1567564.0127,5182876.0962,5201,,
1567581.21,5181423.19,5202,,
1567596.8291,5182836.5945,5203,,
1567597.9669,5181439.3746,5204,,
1567597.9743,5184401.9792,5205,,
1567620.4976,5177105.3295,5206,,
1567630.2878,5177128.5553,5207,,
1567684.0249,5180664.1596,5208,,
1567691.0595,5177984.6348,5209,,
1567694.5402,5185650.7745,5210,,
1567699.0165,5177959.3732,5211,,
1567711.5051,5185641.0492,5212,,
1567725.0053,5180616.8222,5213,,
1567750.8495,5174610.9355,5214,,
1567756.9984,5180279.8381,5215,,
1567761.8782,5180290.1235,5216,,
1567763.3384,5181497.4325,5217,,
1567775.5507,5182622.6279,5218,,
1567784.8648,5181063.1312,5219,,
1567800.0494,5181061.5935,5220,,
1567818.8107,5185211.748,5221,,
1567826.7186,5185220.3819,5222,,
1567839.4117,5184215.6558,5223,,
1567843.2221,5181742.5159,5224,,
1567844.3986,5180109.2778,5225,,
1567860.3767,5184217.4218,5226,,
1567860.6189,5181740.1113,5227,,
1567865.2982,5180018.9405,5228,,
1567882.066,5179869.9208,5229,,
1567889.6984,5177014.1964,5230,,
1567894.1729,5179635.9167,5231,,
1567907.4295,5180553.7131,5232,,
1567911.2374,5179627.4909,5233,,
1567920.1886,5174786.9258,5234,,
1567920.4659,5185675.3772,5235,,
1567921.3185,5185662.7759,5236,,
1567936.0576,5174721.9858,5237,,
1567949.1895,5176977.4082,5238,,
1567952.1107,5180572.0626,5239,,
1567965.1594,5182543.9806,5240,,
1567982.1215,5184235.483,5241,,
1567986.4013,5178225.8421,5242,,
1567986.9499,5175058.3808,5243,,
1567995.6169,5179242.0881,5244,,
1568008.2274,5175010.6256,5245,,
1568017.2833,5174374.4264,5246,,
1568018.067,5184089.6204,5247,,
1568024.6623,5179133.4306,5248,,
1568031.3748,5181356.1541,5249,,
1568036.6574,5181373.7824,5250,,
1568042.0861,5178239.0237,5251,,
1568045.452,5174674.4732,5252,,
1568060.0739,5185010.6337,5253,,
1568070.13,5184070.4098,5254,,
1568071.4527,5182020.1674,5255,,
1568083.9221,5182008.7206,5256,,
1568092.0938,5175230.0395,5257,,
1568099.7816,5176827.3144,5258,,
1568103.1312,5184992.3796,5259,,
1568104.0958,5180332.4489,5260,,
1568106.1196,5180316.3657,5261,,
1568105.9827,5186116.3792,5262,,
1568107.5838,5175246.417,5263,,
1568109.0218,5186128.7213,5264,,
1568111.0559,5178889.5947,5265,,
1568117.5529,5176828.3872,5266,,
1568122.9306,5185650.7837,5267,,
1568128.028,5178895.095,5268,,
1568142.5278,5174547.9906,5269,,
1568145.9687,5185663.1871,5270,,
1568147.9023,5185398.0509,5271,,
1568159.8978,5185395.7642,5272,,
1568171.0546,5180582.9206,5273,,
1568175.1898,5180597.0671,5274,,
1568192.8816,5180041.5226,5275,,
1568195.8071,5186405.2274,5276,,
1568210.4896,5186474.8981,5277,,
1568212.0014,5186668.694,5278,,
1568213.1083,5179984.8104,5279,,
1568216.643,5183950.3804,5280,,
1568221.6526,5186671.7382,5281,,
1568227.9287,5176713.5504,5282,,
1568242.189,5179591.5798,5283,,
1568249.3747,5179655.9849,5284,,
1568250.2282,5184270.9154,5285,,
1568257.1445,5182380.0951,5286,,
1568261.4055,5182402.1275,5287,,
1568264.7589,5181338.668,5288,,
1568287.5056,5184843.3969,5289,,
1568291.2408,5176673.9119,5290,,
1568302.2012,5184849.6077,5291,,
1568314.9528,5178495.6801,5292,,
1568332.6754,5178622.8736,5293,,
